Experiment,Split,learn-rate,AUCEvaluator
exp00000,0,0.1,0.5010447443679269
exp00000,1,0.1,0.5010447443679269
exp00000,2,0.1,0.5010447443679269
exp00000,3,0.1,0.5010447443679269
exp00000,4,0.1,0.5010447443679269
exp00001,0,0.01,0.5005223720455296
exp00001,1,0.01,0.5005223720455296
exp00001,2,0.01,0.5005223720455296
exp00001,3,0.01,0.5005223720455296
exp00001,4,0.01,0.5005223720455296
exp00002,0,0.001,0.5005223723223972
exp00002,1,0.001,0.5010449962229799
exp00002,2,0.001,0.5015706975156478
exp00002,3,0.001,0.5026156895667772
exp00002,4,0.001,0.5020933175212475
