Experiment,Split,learn-rate,RMSEEvaluator
exp00000,0,0.1,0.06444578444375351
exp00000,1,0.1,0.06446503935851676
exp00000,2,0.1,0.06447504099505443
exp00000,3,0.1,0.06448086932038793
exp00000,4,0.1,0.06444245444718787
exp00001,0,0.01,0.0643930627067881
exp00001,1,0.01,0.064411007331827
exp00001,2,0.01,0.06442179429958952
exp00001,3,0.01,0.0644261798316135
exp00001,4,0.01,0.06438664498381094
exp00002,0,0.001,0.06241601002124376
exp00002,1,0.001,0.062427717757796354
exp00002,2,0.001,0.06245387361847038
exp00002,3,0.001,0.06245924593897214
exp00002,4,0.001,0.06240531845351145
