Experiment,Split,neighborhood-size,shrinkage,AUCEvaluator
exp00000,0,50.0,10.0,0.5016033978649083
exp00000,1,50.0,10.0,0.5016033978649083
exp00000,2,50.0,10.0,0.5016033978649083
exp00000,3,50.0,10.0,0.5016033978649083
exp00000,4,50.0,10.0,0.5016033978649083
exp00001,0,100.0,10.0,0.5016033978649083
exp00001,1,100.0,10.0,0.5016033978649083
exp00001,2,100.0,10.0,0.5016033978649083
exp00001,3,100.0,10.0,0.5016033978649083
exp00001,4,100.0,10.0,0.5016033978649083
exp00002,0,50.0,15.0,0.5016033978649083
exp00002,1,50.0,15.0,0.5016033978649083
exp00002,2,50.0,15.0,0.5016033978649083
exp00002,3,50.0,15.0,0.5016033978649083
exp00002,4,50.0,15.0,0.5016033978649083
exp00003,0,100.0,15.0,0.5016033978649083
exp00003,1,100.0,15.0,0.5016033978649083
exp00003,2,100.0,15.0,0.5016033978649083
exp00003,3,100.0,15.0,0.5016033978649083
exp00003,4,100.0,15.0,0.5016033978649083
