Experiment,Split,neighborhood-size,shrinkage,RMSEEvaluator
exp00000,0,50.0,10.0,0.06245105148565751
exp00000,1,50.0,10.0,0.06245105148565751
exp00000,2,50.0,10.0,0.06245105148565751
exp00000,3,50.0,10.0,0.06245105148565751
exp00000,4,50.0,10.0,0.06245105148565751
exp00001,0,50.0,15.0,0.06245105148565751
exp00001,1,50.0,15.0,0.06245105148565751
exp00001,2,50.0,15.0,0.06245105148565751
exp00001,3,50.0,15.0,0.06245105148565751
exp00001,4,50.0,15.0,0.06245105148565751
exp00002,0,100.0,10.0,0.06245105148565751
exp00002,1,100.0,10.0,0.06245105148565751
exp00002,2,100.0,10.0,0.06245105148565751
exp00002,3,100.0,10.0,0.06245105148565751
exp00002,4,100.0,10.0,0.06245105148565751
exp00003,0,100.0,15.0,0.06245105148565751
exp00003,1,100.0,15.0,0.06245105148565751
exp00003,2,100.0,15.0,0.06245105148565751
exp00003,3,100.0,15.0,0.06245105148565751
exp00003,4,100.0,15.0,0.06245105148565751
