Experiment,Split,neighborhood-size,shrinkage,RMSEEvaluator
exp00000,0,20.0,5.0,0.06245105148565751
exp00000,1,20.0,5.0,0.06245105148565751
exp00000,2,20.0,5.0,0.06245105148565751
exp00000,3,20.0,5.0,0.06245105148565751
exp00000,4,20.0,5.0,0.06245105148565751
exp00001,0,20.0,10.0,0.06245105148565751
exp00001,1,20.0,10.0,0.06245105148565751
exp00001,2,20.0,10.0,0.06245105148565751
exp00001,3,20.0,10.0,0.06245105148565751
exp00001,4,20.0,10.0,0.06245105148565751
exp00002,0,50.0,5.0,0.06245105148565751
exp00002,1,50.0,5.0,0.06245105148565751
exp00002,2,50.0,5.0,0.06245105148565751
exp00002,3,50.0,5.0,0.06245105148565751
exp00002,4,50.0,5.0,0.06245105148565751
exp00003,0,50.0,10.0,0.06245105148565751
exp00003,1,50.0,10.0,0.06245105148565751
exp00003,2,50.0,10.0,0.06245105148565751
exp00003,3,50.0,10.0,0.06245105148565751
exp00003,4,50.0,10.0,0.06245105148565751
