Experiment,Split,learn-rate,AUCEvaluator
exp00000,0,0.1,0.5047032071501181
exp00000,1,0.1,0.5031377799076618
exp00000,2,0.1,0.5036568400100397
exp00000,3,0.1,0.5031361107385339
exp00000,4,0.1,0.504180978935213
exp00001,0,0.01,0.5036584702796013
exp00001,1,0.01,0.5031362342904185
exp00001,2,0.01,0.5036601594645009
exp00001,3,0.01,0.5041808517763922
exp00001,4,0.01,0.5031362342904185
exp00002,0,0.001,0.504703224375657
exp00002,1,0.001,0.5036617991853237
exp00002,2,0.001,0.5036601594645009
exp00002,3,0.001,0.5041795902054348
exp00002,4,0.001,0.5026122222471986
