Experiment,Split,learn-rate,RMSEEvaluator
exp00000,0,0.1,0.06275969258975013
exp00000,1,0.1,0.06252442837693434
exp00000,2,0.1,0.06258171649905656
exp00000,3,0.1,0.0629198164041886
exp00000,4,0.1,0.0627224823107987
exp00001,0,0.01,0.06252442837693434
exp00001,1,0.01,0.06252442837693434
exp00001,2,0.01,0.06252442837693434
exp00001,3,0.01,0.06252442837693434
exp00001,4,0.01,0.06252442837693434
exp00002,0,0.001,0.06252442837693434
exp00002,1,0.001,0.06252442837693434
exp00002,2,0.001,0.06252442837693434
exp00002,3,0.001,0.06252442837693434
exp00002,4,0.001,0.06252442837693434
